Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
LogisticRegression(),0.7,0.23529411764705882,0.19047619047619047,0.21052631578947367,0.512959614225437
KNeighborsClassifier(),0.775,0.2857142857142857,0.047619047619047616,0.08163265306122448,0.5079867389993973
SVC(),0.785,0.0,0.0,0.0,0.49683544303797467
DecisionTreeClassifier(),0.71,0.21428571428571427,0.14285714285714285,0.17142857142857143,0.5018083182640144
RandomForestClassifier(),0.79,0.0,0.0,0.0,0.5
GradientBoostingClassifier(),0.765,0.0,0.0,0.0,0.48417721518987344
AdaBoostClassifier(),0.755,0.23076923076923078,0.07142857142857142,0.10909090909090909,0.5040687160940325
GaussianNB(),0.555,0.1780821917808219,0.30952380952380953,0.22608695652173913,0.46488848704038577
RidgeClassifier(),0.695,0.1724137931034483,0.11904761904761904,0.14084507042253522,0.4835744424352019
ExtraTreesClassifier(),0.755,0.23076923076923078,0.07142857142857142,0.10909090909090909,0.5040687160940325
